Nom_usuel,Service_AI,Sous-servi,Equipe_AIO,Code_posta,Adresse_si,Commune_si,NOM_COMM,insee,Code_AIOT,latitude,longitude,result_lab,result_sco,result_s_1,result_typ,result_id,result_hou,result_nam,result_str,result_pos,result_cit,result_con,result_c_1,result_old,result_o_1,result_dis,result_sta,Distance,Statut_IED,Statut_Sev,nb_points,groupe_id,X,Y
CAP 1 CAP 2,DDPP 06,SA,SA,"06160",JUANS LES PINS (port du crouton),ANTIBES,ANTIBES,"06004","6412476",43.564979000000001,7.120154000000000,Chemin du Crouton 06160 Antibes,"0.4098671625344352",,street,06004_0860,,Chemin du Crouton,Chemin du Crouton,"06160",Antibes,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06004",,,,ok,1131.978920790970506,Non,Non Seveso,"1","1253",1032833.242343618068844,6282675.880394841544330
VALOMED,DREAL PACA,UD 06,PA'le DACEN,"06160",Route de Grasse lieu-dit font de cine,ANTIBES,ANTIBES,"06004","6400297",43.594588999999999,7.093774000000000,Route de Grasse 06600 Antibes,"0.44413874125874125","0.4007121212121212",street,06004_1450,,Route de Grasse,Route de Grasse,"06600",Antibes,"06, Alpes-Maritimes, Provence-Alpes-CA'te d'Azur","06004",,,,ok,29.607229083319829,Oui,Non Seveso,"1","1248",1030533.596302894875407,6285851.530079091899097
APTUNION,DREAL PACA,UD 84,UnitA(c) risques chroniques,"84400",Quartier Salignan - CS 90137,APT,APT,"84003","6400455",43.883842000000001,5.353802000000000,Quartier Salignan 84400 Apt,"0.5242390909090909",,street,84003_cpt5zy,,Quartier Salignan,Quartier Salignan,"84400",Apt,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84003",,,,ok,561.080840825960763,Non,Non Seveso,"3","534",889146.229555035824887,6312245.476470443420112
EntrepA't DELTA PLUS SERVICE,DREAL PACA,UD 84,UnitA(c) risques accidentels,"84400","ZI la peyroliA""re. BP 140.",APT,APT,"84003","6401658",43.883398000000000,5.361245000000000,Zone Industrielle la Peyroliere 84400 Apt,"0.3596210471806674",,street,84003_ba6c7t,,Zone Industrielle la Peyroliere,Zone Industrielle la Peyroliere,"84400",Apt,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84003",,,,ok,199.995199286896508,Non,Non Seveso,"2","544",889745.629401963087730,6312214.018406034447253
EUROSILICONE SAS,DREAL PACA,UD 84,UnitA(c) risques chroniques,"84400","ZI de la peyroliA""re",APT,APT,"84003","6403671",43.883398000000000,5.361245000000000,Zone Industrielle la Peyroliere 84400 Apt,"0.43244181818181815",,street,84003_ba6c7t,,Zone Industrielle la Peyroliere,Zone Industrielle la Peyroliere,"84400",Apt,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84003",,,,ok,908.472401626316923,Non,Non Seveso,"2","544",889745.629401963087730,6312214.018406034447253
FERT DEMOLITION (ex LAVAGNE),DREAL PACA,UD 84,UnitA(c) risques accidentels,"84400",quartier Salignan,APT,APT,"84003","6400478",43.883842000000001,5.353802000000000,Quartier Salignan 84400 Apt,"0.4521281510015408",,street,84003_cpt5zy,,Quartier Salignan,Quartier Salignan,"84400",Apt,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84003",,,,ok,633.454390434489710,Non,Non Seveso,"3","534",889146.229555035824887,6312245.476470443420112
FRULACT FRANCE (ex FRUPREP),DREAL PACA,UD 84,UnitA(c) risques chroniques,"84400",Quartier Salignan Route de la CharitA(c),APT,APT,"84003","6409429",43.883842000000001,5.353802000000000,Quartier Salignan 84400 Apt,"0.3545421212121212",,street,84003_cpt5zy,,Quartier Salignan,Quartier Salignan,"84400",Apt,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84003",,,,ok,796.700930205818281,Non,Non Seveso,"3","534",889146.229555035824887,6312245.476470443420112
ISDI SIRTOM d'APT (APT),DREAL PACA,UD 84,UnitA(c) dA(c)chets,"84400",Lieu-dit A les Desfessis   Hameau des Jean-Jean,APT,APT,"84003","6412226",43.908259000000001,5.437974000000000,Hameau des Jean Jean 84400 Apt,"0.3801890909090909","0.2771323301985371",street,84003_e6181c,,Hameau des Jean Jean,Hameau des Jean Jean,"84400",Apt,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84003",,,,ok,1038.755631175800772,Non,Non Seveso,"1","631",895824.232885454548523,6315162.605818594805896
Centre de Transit d'APT,DREAL PACA,UD 84,UnitA(c) dA(c)chets,"84400",Salignan,APT,APT,"84003","6400502",43.886208000000003,5.356245000000000,Salignan 84400 Apt,"0.3755319342359768","0.34903247933884296",street,84003_uflgew,,Salignan,Salignan,"84400",Apt,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84003",,,,ok,734.759240870538406,Non,Non Seveso,"1","538",889334.641225732979365,6312514.123789818026125
OCRES DE FRANCE,DREAL PACA,UD 84,"UnitA(c) carriA""res","84400",93 chemin des Ocriers BP NAdeg 18,APT,APT,"84003","6401258",43.878360000000001,5.385226000000000,93 Impasse des Ocriers 84400 Apt,"0.35893558441558443",,housenumber,84003_0737_00093,"93",93 Impasse des Ocriers,Impasse des Ocriers,"84400",Apt,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84003",,,,ok,33.857001851732726,Non,Non Seveso,"1","591",891689.026572289760225,6311712.369506401009858
SUD VAUCLUSE APPRO,DREAL PACA,SPR,UnitA(c) ICPE,"84400",1062 Quartier de LanASSon,APT,APT,"84003","6401117",43.880526000000003,5.384826000000000,Quartier de la Gare 84400 Apt,"0.3776543108504398","0.3622089531680441",street,84003_hrhurr,,Quartier de la Gare,Quartier de la Gare,"84400",Apt,"84, Vaucluse, Provence-Alpes-CA'te d'Azur","84003",,,,ok,758.256106384361829,Non,Non Seveso,"1","590",891649.622185497428291,6311951.975024181418121
AGROFINO,DREAL PACA,SPR,UnitA(c) ICPE,"13104",Chemin des SA(c)gonnaux Zone Portuaire,ARLES,ARLES,"13004","6402309",43.694701999999999,4.629167000000000,Chemin des SA(c)gonnaux 13200 Arles,"0.45959818181818174","0.28279143658810324",street,13004_zvtwsu,,Chemin des SA(c)gonnaux,Chemin des SA(c)gonnaux,"13200",Arles,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13004",,,,ok,833.405841100416183,Non,Non Seveso,"2","8",831359.918760728091002,6289762.843870612792671
ARTERRIS (ex SUD CEREALES) Arles gimeau,DREAL PACA,UD 84,UnitA(c) risques accidentels,"13104",Clos Ferrier ROUTE des SAINTES MARIES DE LA MER,ARLES,ARLES,"13004","6400917",43.554059000000002,4.734592000000000,"Rue du Clos de la BraconniA""re 13104 Arles","0.2816100318979266","0.2582973927958833",street,13004_0916,,"Rue du Clos de la BraconniA""re","Rue du Clos de la BraconniA""re","13104",Arles,"13, Bouches-du-RhA'ne, Provence-Alpes-CA'te d'Azur","13004",,,,ok,17079.548909591674601,Non,Non Seveso,"1","39",840202.362373200594448,6274316.826578164473176
