Nom_usuel,Service_AI,Sous-servi,Equipe_AIO,Code_posta,Adresse_si,Commune_si,NOM_COMM,insee,Code_AIOT,latitude,longitude,result_lab,result_sco,result_s_1,result_typ,result_id,result_hou,result_nam,result_str,result_pos,result_cit,result_con,result_c_1,result_old,result_o_1,result_dis,result_sta,Distance,Statut_IED,Statut_Sev,nb_points,groupe_id
SUD ENGRAIS DISTRIBUTION,DREAL PACA,UD 84,UnitÃ© risques accidentels,"13104",Zone portuaire des SÃ©gonnaux,ARLES,ARLES,"13004","6401883",43.695173792181365,4.628402366006240,Chemin des SÃ©gonnaux 13200 Arles,0.329936177156177,"0.27282914198161384",street,13004_zvtwsu,,Chemin des SÃ©gonnaux,Chemin des SÃ©gonnaux,"13200",Arles,"13, Bouches-du-RhÃ´ne, Provence-Alpes-CÃ´te d'Azur","13004",,,,ok,466.067303098101206,Non,Seveso seuil bas,"2","8"
STATION AUCHAN Aubagne CCial,DREAL PACA,UD 13,PÃ´le Chronique Risque,"13400",Route de GÃ©mÃ©nos BP 1158,AUBAGNE,AUBAGNE,"13005","6400713",43.299093325101090,5.594440349405598,Route de Gemenos 13400 Aubagne,0.427182525252525,,street,13005_0855,,Route de Gemenos,Route de Gemenos,"13400",Aubagne,"13, Bouches-du-RhÃ´ne, Provence-Alpes-CÃ´te d'Azur","13005",,,,ok,681.825740089706414,Non,Non Seveso,"2","697"
AUCHAN AUBAGNE,DDPP 13,SPAE 13,SPAE,"13400",- ROUTE DE GEMENOS,AUBAGNE,AUBAGNE,"13005","6412468",43.299244057805197,5.594606760333218,Route de Gemenos 13400 Aubagne,0.588293636363636,,street,13005_0855,,Route de Gemenos,Route de Gemenos,"13400",Aubagne,"13, Bouches-du-RhÃ´ne, Provence-Alpes-CÃ´te d'Azur","13005",,,,ok,617.369333090537907,Non,Non Seveso,"2","697"
ELYDAN (ex POLYPIPE) Aubagne,DREAL PACA,UD 13,PÃ´le Chronique Risque,"13400",219-359 Avenue du Douard ZI les Paluds BP 1037,AUBAGNE,AUBAGNE,"13005","6401439",43.287166322186373,5.598315310543700,Avenue du Douard 13400 Aubagne,0.343088537549407,"0.32101849129593807",street,13005_0532,,Avenue du Douard,Avenue du Douard,"13400",Aubagne,"13, Bouches-du-RhÃ´ne, Provence-Alpes-CÃ´te d'Azur","13005",,,,ok,137.162531577990023,Non,Non Seveso,"2","701"
MOTA SAS,DREAL PACA,UD 13,PÃ´le DÃ©chet MatÃ©riau,"13400",Avenue du Douard - ZI des Paluds,AUBAGNE,AUBAGNE,"13005","6412682",43.285408121906720,5.598624504136394,Avenue du Douard 13400 Aubagne,0.511072727272727,"0.4602926018808777",street,13005_0532,,Avenue du Douard,Avenue du Douard,"13400",Aubagne,"13, Bouches-du-RhÃ´ne, Provence-Alpes-CÃ´te d'Azur","13005",,,,ok,3053.985481864301619,Non,Non Seveso,"2","701"
CANY EXPRESS,DDPP 84,SSPAE 84,SSPAE,"84000",- ZI Courtine,AVIGNON,AVIGNON,"84007","6411736",43.938639237354721,4.791722239813210,Chemin de Courtine 84000 Avignon,0.470254901960784,"0.4044313713405239",street,84007_1590,,Chemin de Courtine,Chemin de Courtine,"84000",Avignon,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84007",,,,ok,2241.819422011020833,Non,Non Seveso,"2","66"
DECHETERIE AVIGNON COURTINE (COGA),DREAL PACA,UD 84,UnitÃ© dÃ©chets,"84097",Chemin de Courtine,AVIGNON,AVIGNON,"84007","6413867",43.939696179987159,4.791786850544592,Chemin de Courtine 84000 Avignon,0.426434343434343,"0.30672449197860957",street,84007_1590,,Chemin de Courtine,Chemin de Courtine,"84000",Avignon,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84007",,,,ok,49.211635700579336,Non,Non Seveso,"2","66"
SYDEVOM (ex Commune de Banon),DREAL PACA,UD 04-05,PÃ´le Risque,"04150",RD 51 - lieu-dit LE SERRE,BANON,BANON,"04018","6406228",44.031935151423738,5.628026819294750,Lieu Dit le Serre 04150 Banon,0.411901550802139,"0.2814033333333333",street,04018_taml9h,,Lieu Dit le Serre,Lieu Dit le Serre,"04150",Banon,"04, Alpes-de-Haute-Provence, Provence-Alpes-CÃ´te d'Azur","04018",,,,ok,2185.778297540368840,Non,Non Seveso,"2","729"
ISDI ComunautÃ© de Haute de Provence,DREAL PACA,UD 04-05,PÃ´le Territorial 04,"04150",D 51 Lieu dit Le bas Serre Les Combettes (en limite de la commune de Montsalier),BANON,BANON,"04018","6412511",44.033152474379591,5.626909603983342,Lieu Dit le Serre 04150 Banon,0.231879507286607,"0.18603791443850268",street,04018_taml9h,,Lieu Dit le Serre,Lieu Dit le Serre,"04150",Banon,"04, Alpes-de-Haute-Provence, Provence-Alpes-CÃ´te d'Azur","04018",,,,ok,36.019761043843552,Non,Non Seveso,"2","729"
SIBELCO BÃ©doin,DREAL PACA,UD 84,UnitÃ© carriÃ¨res,"84410",ROUTE DES CRANS,BEDOIN,BEDOIN,"84017","6402097",44.110082255270036,5.185547583419236,Chemin des Crans 84410 BÃ©doin,0.467772237762238,,street,84017_0026,,Chemin des Crans,Chemin des Crans,"84410",BÃ©doin,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84017",,,,ok,965.955516828813302,Non,Non Seveso,"2","421"
CARRIERE SIBELCO Les Crans,DREAL PACA,UD 84,UnitÃ© carriÃ¨res,"84410",Les Crans Chemin des Crans,BEDOIN,BEDOIN,"84017","6400550",44.109581501703310,5.186855191100448,Chemin des Crans 84410 BÃ©doin,0.406706542893726,,street,84017_0026,,Chemin des Crans,Chemin des Crans,"84410",BÃ©doin,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84017",,,,ok,942.162140119915762,Non,Non Seveso,"2","421"
BPO -VAPO EBD DIB,DREAL PACA,UD 13,PÃ´le Seveso,"13131",Chemin dÃ©partemental 54 BP 14,BERRE-L'ETANG,BERRE-L'ETANG,"13014","6401008",43.502637025032548,5.162910453371672,Route Departementale 21f 13130 Berre-l'Ã‰tang,0.382881796276013,,street,13014_vq9gn8,,Route Departementale 21f,Route Departementale 21f,"13130",Berre-l'Ã‰tang,"13, Bouches-du-RhÃ´ne, Provence-Alpes-CÃ´te d'Azur","13014",,,,ok,1926.096856045162667,Oui,Seveso seuil haut,"4","400"
CPB - UCB (KRATON  ADDITIFS et PVC),DREAL PACA,UD 13,PÃ´le Seveso,"13130",Usine chimique de Berre Chemin dÃ©partemental 54 - BP 14,BERRE-L'ETANG,BERRE-L'ETANG,"13014","6401007",43.502200018765627,5.162560708480674,Route Departementale 21f 13130 Berre-l'Ã‰tang,0.305283266563944,,street,13014_vq9gn8,,Route Departementale 21f,Route Departementale 21f,"13130",Berre-l'Ã‰tang,"13, Bouches-du-RhÃ´ne, Provence-Alpes-CÃ´te d'Azur","13014",,,,ok,1309.014492574253154,Oui,Seveso seuil haut,"4","400"
LBSF -Lyondell Basell Services France,DREAL PACA,UD 13,PÃ´le Seveso,"13130",Chemin departemental 54 BP 14,BERRE-L'ETANG,BERRE-L'ETANG,"13014","6410871",43.503604859884838,5.162686273827072,Route Departementale 21f 13130 Berre-l'Ã‰tang,0.352432727272727,,street,13014_vq9gn8,,Route Departementale 21f,Route Departementale 21f,"13130",Berre-l'Ã‰tang,"13, Bouches-du-RhÃ´ne, Provence-Alpes-CÃ´te d'Azur","13014",,,,ok,1731.434117927929037,Oui,Non Seveso,"4","400"
Orion Ingineered (ex SN2A),DREAL PACA,UD 13,PÃ´le Chronique Risque,"13130",Route DÃ©partementale 21F BP 98 Les Grands Champs,BERRE-L'ETANG,BERRE-L'ETANG,"13014","6401011",43.502091122874106,5.161811816056236,Route Departementale 21f 13130 Berre-l'Ã‰tang,0.442228645640074,,street,13014_vq9gn8,,Route Departementale 21f,Route Departementale 21f,"13130",Berre-l'Ã‰tang,"13, Bouches-du-RhÃ´ne, Provence-Alpes-CÃ´te d'Azur","13014",,,,ok,2140.869516975476927,Oui,Non Seveso,"4","400"
EGIDE SA,DREAL PACA,UD 84,UnitÃ© risques chroniques,"84500",Site du Sactar CS 20205,BOLLENE,BOLLENE,"84019","6400389",44.307801917866811,4.734021626673496,Le Sactar 84500 BollÃ¨ne,0.408630139860140,"0.37908215007215",street,84019_06kk3m,,Le Sactar,Le Sactar,"84500",BollÃ¨ne,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84019",,,,ok,454.154973924186663,Non,Non Seveso,"3","37"
ORANO DS TRIADE,DREAL PACA,UD 84,UnitÃ© dÃ©chets,"84500",Site du SACTAR,BOLLENE,BOLLENE,"84019","6400433",44.307242382110815,4.735128772457228,Le Sactar 84500 BollÃ¨ne,0.423315454545454,"0.3697724633431085",street,84019_06kk3m,,Le Sactar,Le Sactar,"84500",BollÃ¨ne,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84019",,,,ok,383.550450926204235,Non,Non Seveso,"3","37"
SAS CORBET (ancien ETS CHAROUSSET),DDPP 84,SSPAE 84,SSPAE,"84500",ZI La croisiÃ¨re,BOLLENE,BOLLENE,"84019","6401093",44.276823154671071,4.719725957947914,Route de la Croisiere 84500 BollÃ¨ne,0.411823434343434,"0.31957213903743314",street,84019_0003,,Route de la Croisiere,Route de la Croisiere,"84500",BollÃ¨ne,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84019",,,,ok,504.993498163978302,Non,Non Seveso,"2","30"
VALOREF,DREAL PACA,UD 84,UnitÃ© dÃ©chets,"84500",ZI La CroisiÃ¨re Site industriel fluvial,BOLLENE,BOLLENE,"84019","6400441",44.276750520196693,4.719637117829730,Route de la Croisiere 84500 BollÃ¨ne,0.416980640204866,"0.3269498754669987",street,84019_0003,,Route de la Croisiere,Route de la Croisiere,"84500",BollÃ¨ne,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84019",,,,ok,4060.022871827729887,Oui,Non Seveso,"2","30"
DECHETERIE DE BOLLENE,DREAL PACA,UD 84,UnitÃ© dÃ©chets,"84500",Zone industrielle Les Sactars RD243,BOLLENE,BOLLENE,"84019","6412434",44.307470947701589,4.735008269465006,Le Sactar 84500 BollÃ¨ne,0.289431157024793,,street,84019_06kk3m,,Le Sactar,Le Sactar,"84500",BollÃ¨ne,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84019",,,,ok,310.999866578168110,Non,Non Seveso,"3","37"
ISDI La Manjastre - BORMES,DREAL PACA,UD 83,PÃ´le CarriÃ¨res - dÃ©chets,"83230",Lieu-dit MANJASTRE BASSE,BORMES-LES-MIMOSAS,BORMES-LES-MIMOSAS,"83019","6412184",43.157564084457725,6.313412961762116,Chemin de Manjastre 83230 Bormes-les-Mimosas,0.425951501057082,,street,83019_0496,,Chemin de Manjastre,Chemin de Manjastre,"83230",Bormes-les-Mimosas,"83, Var, Provence-Alpes-CÃ´te d'Azur","83019",,,,ok,3628.906206652951369,Non,Non Seveso,"2","1007"
QUAI TRANSIT+DECHETERIE-PROPOLYS-BORMES,DREAL PACA,UD 83,PÃ´le CarriÃ¨res - dÃ©chets,"83230",Lieu dit Manjastre,BORMES-LES-MIMOSAS,BORMES-LES-MIMOSAS,"83019","6406634",43.158674115442210,6.312980691510550,Chemin de Manjastre 83230 Bormes-les-Mimosas,0.430777312252964,,street,83019_0496,,Chemin de Manjastre,Chemin de Manjastre,"83230",Bormes-les-Mimosas,"83, Var, Provence-Alpes-CÃ´te d'Azur","83019",,,,ok,564.619490610646494,Non,Non Seveso,"2","1007"
ENTREPOT SUN LOG - NICOPOLIS - LOT A,DREAL PACA,UD 83,PÃ´le Risques accidentels et chroniques,"83170",ZAC NICOPOLIS,BRIGNOLES,BRIGNOLES,"83023","6414066",43.394632752632369,6.142192348246494,Z.A.C. Nicopolis 83170 Brignoles,0.411512819499341,"0.37831608305274966",locality,83023_A021,,Z.A.C. Nicopolis,,"83170",Brignoles,"83, Var, Provence-Alpes-CÃ´te d'Azur","83023",,,,ok,14.835888980349194,Non,Non Seveso,"2","953"
ENTREPOT SUN LOG - NICOPOLIS - Lot B,DREAL PACA,UD 83,PÃ´le Risques accidentels et chroniques,"83170",ZAC NICOPOLIS,BRIGNOLES,BRIGNOLES,"83023","6414067",43.394515908531680,6.141975265008884,Z.A.C. Nicopolis 83170 Brignoles,0.375512893725992,"0.363260376940133",locality,83023_A021,,Z.A.C. Nicopolis,,"83170",Brignoles,"83, Var, Provence-Alpes-CÃ´te d'Azur","83023",,,,ok,20.850485754426167,Non,Non Seveso,"2","953"
IDEX VAR BIOMASSE (IVB),DREAL PACA,UD 83,PÃ´le CarriÃ¨res - dÃ©chets,"83170",Rue Vermentino Pole d'ActivitÃ©s de Nicopolis,BRIGNOLES,BRIGNOLES,"83023","6410680",43.398205160944251,6.139128825975950,Zone dâ€™Amenagement Nicopolis 83170 Brignoles,0.349685102040816,"0.3456366666666666",street,83023_ryjpyf,,Zone dâ€™Amenagement Nicopolis,Zone dâ€™Amenagement Nicopolis,"83170",Brignoles,"83, Var, Provence-Alpes-CÃ´te d'Azur","83023",,,,ok,253.598829581369927,Oui,Non Seveso,"2","952"
ENTREPOT ITM-Logistique Alim Inter,DREAL PACA,UD 83,PÃ´le Risques accidentels et chroniques,"83170",ZAC de Nicopolis,BRIGNOLES,BRIGNOLES,"83023","6400100",43.398222353858799,6.140924565915628,Zone dâ€™Amenagement Nicopolis 83170 Brignoles,0.388336926406926,"0.3698790909090909",street,83023_ryjpyf,,Zone dâ€™Amenagement Nicopolis,Zone dâ€™Amenagement Nicopolis,"83170",Brignoles,"83, Var, Provence-Alpes-CÃ´te d'Azur","83023",,,,ok,1115.462780510804350,Non,Non Seveso,"2","952"
RECUP BRIGNOLES CASSE,DREAL PACA,UD 83,PÃ´le CarriÃ¨res - dÃ©chets,"83170",ZI Les Consacs,BRIGNOLES,BRIGNOLES,"83023","6400081",43.401522810268936,6.051506414464430,Zone Industrielle les Consacs 83170 Brignoles,0.426729282970551,,street,83023_18dhgj,,Zone Industrielle les Consacs,Zone Industrielle les Consacs,"83170",Brignoles,"83, Var, Provence-Alpes-CÃ´te d'Azur","83023",,,,ok,284.871456232633591,Non,Non Seveso,"3","915"
Cave CERCLE DES VIGNERONS DE PROVENCE,DREAL PACA,UD 83,PÃ´le CarriÃ¨res - dÃ©chets,"83170",ESTANDON - ZI Les Consacs,BRIGNOLES,BRIGNOLES,"83023","6400082",43.401626073997349,6.052459337881224,Zone Industrielle les Consacs 83170 Brignoles,0.378574743083004,,street,83023_18dhgj,,Zone Industrielle les Consacs,Zone Industrielle les Consacs,"83170",Brignoles,"83, Var, Provence-Alpes-CÃ´te d'Azur","83023",,,,ok,186.381358345329261,Non,Non Seveso,"3","915"
VERMIGLI Ste (GRILLAGES),DREAL PACA,UD 83,PÃ´le Risques accidentels et chroniques,"83170",ZI les Consacs 339 Bld Long CS 60069,BRIGNOLES,BRIGNOLES,"83023","6400120",43.402929809425821,6.052569940699546,Zone Industrielle les Consacs 83170 Brignoles,0.358811897233202,,street,83023_18dhgj,,Zone Industrielle les Consacs,Zone Industrielle les Consacs,"83170",Brignoles,"83, Var, Provence-Alpes-CÃ´te d'Azur","83023",,,,ok,380.744790034218340,Non,Non Seveso,"3","915"
CAVE DE CAIRANNE SCA CC LES COTEAUX,DDPP 84,SSPAE 84,SSPAE,"84290",Route de Sainte CÃ©cile les Vignes,CAIRANNE,CAIRANNE,"84028","6401089",44.235761379062765,4.922346205553818,Ancien Chemin de Sainte Cecile 84290 Cairanne,0.339411818181818,,street,84028_0010,,Ancien Chemin de Sainte Cecile,Ancien Chemin de Sainte Cecile,"84290",Cairanne,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84028",,,,ok,645.987711965951235,Non,Non Seveso,"2","187"
CGES (COMPAGNIE GENERALE DES EAUX DE SOURCE),DREAL PACA,UD 84,UnitÃ© risques chroniques,"84290",Pont de l'Aygue Sainte CÃ©cile les Vignes,CAIRANNE,CAIRANNE,"84028","6400518",44.234513295581245,4.923579102284142,Ancien Chemin de Sainte Cecile 84290 Cairanne,0.312943596138375,"0.286577012987013",street,84028_0010,,Ancien Chemin de Sainte Cecile,Ancien Chemin de Sainte Cecile,"84290",Cairanne,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84028",,,,ok,1048.876591916368625,Non,Non Seveso,"2","187"
CONSERVERIES PROVENCALES CABANON,DREAL PACA,UD 84,UnitÃ© risques chroniques,"84850",Chemin de Piolenc,CAMARET-SUR-AIGUES,CAMARET-SUR-AIGUES,"84029","6401238",44.164129233895807,4.865641653044694,Chemin de Piolenc 84850 Camaret-sur-Aigues,0.517413636363636,,street,84029_0430,,Chemin de Piolenc,Chemin de Piolenc,"84850",Camaret-sur-Aigues,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84029",,,,ok,81.271139206058180,Non,Non Seveso,"2","135"
RAYNAL et ROQUELAURE Provence,DREAL PACA,UD 84,UnitÃ© risques chroniques,"84850",Vieux Chemin  de Piolenc BP5,CAMARET-SUR-AIGUES,CAMARET-SUR-AIGUES,"84029","6400411",44.163569750826738,4.865556365928400,Chemin de Piolenc 84850 Camaret-sur-Aigues,0.479926698014629,,street,84029_0430,,Chemin de Piolenc,Chemin de Piolenc,"84850",Camaret-sur-Aigues,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84029",,,,ok,86.240932048028725,Oui,Non Seveso,"2","135"
Decheterie CAROMB,DREAL PACA,UD 84,UnitÃ© dÃ©chets,"84330",Lieu-dit LA COMBE (DÃ©chetterie) Chemin du Bois,CAROMB,CAROMB,"84030","6412867",44.084659437352109,5.105630916845042,Chemin de la Combe 84330 Caromb,0.382931818181818,,street,84030_0110,,Chemin de la Combe,Chemin de la Combe,"84330",Caromb,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84030",,,,ok,237.149980817662964,Non,Non Seveso,"2","373"
ISDI COVE,DREAL PACA,UD 84,UnitÃ© dÃ©chets,"84330",Lieu dit La Combe,CAROMB,CAROMB,"84030","6412230",44.085828334145489,5.105034811494998,Chemin de la Combe 84330 Caromb,0.444120629370629,,street,84030_0110,,Chemin de la Combe,Chemin de la Combe,"84330",Caromb,"84, Vaucluse, Provence-Alpes-CÃ´te d'Azur","84030",,,,ok,366.324381165307045,Non,Non Seveso,"2","373"
ARKOPHARMA SA,DREAL PACA,UD 06,PÃ´le ERASO,"06510",LID de Carros Le Broc 1er avenue 2709 M,CARROS,CARROS,"06033","6400341",43.791213154171075,7.209806174860498,1Ã¨re Avenue 06510 Carros,0.334095959595960,"0.2541824815724815",street,06033_oj2esm,,1Ã¨re Avenue,1Ã¨re Avenue,"06510",Carros,"06, Alpes-Maritimes, Provence-Alpes-CÃ´te d'Azur","06033",,,,ok,257.067327489503668,Non,Non Seveso,"6","1292"
BERKLEY PEINTURES,DREAL PACA,UD 06,PÃ´le ERASO,"06510",ZI 1Ã¨re avenue-11 eme rue BP 517,CARROS,CARROS,"06033","6403921",43.789608298257590,7.209493519145010,1Ã¨re Avenue 06510 Carros,0.363804812834225,"0.3127169518716577",street,06033_oj2esm,,1Ã¨re Avenue,1Ã¨re Avenue,"06510",Carros,"06, Alpes-Maritimes, Provence-Alpes-CÃ´te d'Azur","06033",,,,ok,1419.669582117336631,Non,Non Seveso,"6","1292"
